"","recipient","removal_rate","partners","acts_per_day","transmission_risk_per_act","transmission_risk_per_day","source","infectionTime","sampleTime","cumulative_partners","cumulative_transmissions"
"210",210,5e-04,0,0.0852072514593601,0.0325162405934888,0,93,251,616,0,0
"211",211,5e-04,1,0.285817898052249,0.0429066752159752,0.0124561370941908,55,253,618,0,0
"212",212,5e-04,0,0.557864869799833,0.0406919516709175,0,65,253,618,0,0
"213",213,5e-04,1,0.0614476973656565,0.0392297451597444,0.00245611365263287,43,254,619,0,0
"214",214,5e-04,1,0.307811309850279,0.040273007733608,0.0125733074690907,154,254,619,0,0
"215",215,5e-04,0,0.127411957411095,0.0394707756729569,0,172,254,619,0,0
"216",216,5e-04,0,0.381291850134856,0.040696727053583,0,192,254,619,0,0
"217",217,5e-04,0,0.584908846554287,0.0424144381976002,0,77,255,620,0,0
"218",218,5e-04,0,0.0104276874311365,0.0498085319278894,0,85,255,620,0,0
"219",219,5e-04,1,0.293787263786856,0.0520395148449029,0.0155781004053633,118,255,620,0,0
"220",220,5e-04,1,0.410476325642557,0.0343580440522871,0.0142486520260623,137,255,620,0,0
"221",221,5e-04,1,0.125585644226521,0.0580192927293341,0.00747821286861627,160,255,620,0,0
"222",222,5e-04,1,0.215147428408011,0.0402416675991187,0.00879798377869034,23,256,621,0,0
"223",223,5e-04,1,0.81266822829787,0.0486804145220312,0.0397449833190547,92,256,621,0,0
"224",224,5e-04,0,0.181764402799308,0.0396135421873194,0,150,256,621,0,0
"225",225,5e-04,1,0.0540824631694704,0.0355739209153738,0.00195706236817261,160,256,621,0,0
"226",226,5e-04,2,0.0687933042179793,0.0407884069168289,0.00571321733792907,29,257,622,0,0
"227",227,5e-04,3,0.0249503818605054,0.0304283746288809,0.00231029703340135,43,257,622,0,0
"228",228,5e-04,0,0.753114939256947,0.0377530755305956,0,86,257,622,0,0
"229",229,5e-04,0,0.484351891812809,0.0492440102133591,0,123,257,622,0,0
"230",230,5e-04,1,0.222704769507212,0.0365253838123134,0.00825241259560017,23,258,623,0,0
"231",231,5e-04,2,0.739517377837937,0.0425352451046399,0.0622653593966687,43,259,624,0,0
"232",232,5e-04,1,0.0223772268276662,0.0370010472210014,0.000843331763799582,112,259,624,0,0
"233",233,5e-04,2,0.567960407000907,0.0467883895380372,0.0529765795622935,123,259,624,0,0
"234",234,5e-04,0,0.0401114713400602,0.041583930126013,0,58,260,625,0,0
"235",235,5e-04,2,0.0947883929125965,0.0304506510348875,0.00584530369695735,187,260,625,0,0
"236",236,5e-04,0,0.253440999972138,0.0401136662087518,0,193,260,625,0,0
"237",237,5e-04,2,0.102674345998093,0.0482871858861745,0.0101116384627733,231,260,625,0,0
"238",238,5e-04,0,0.374322784120653,0.048815416201909,0,55,261,626,0,0
"239",239,5e-04,1,0.17425036886707,0.0492439565756656,0.0087606558919886,198,261,626,0,0
"240",240,5e-04,0,0.372050370542768,0.0446261688115486,0,220,261,626,0,0
"241",241,5e-04,1,0.45730856132967,0.0590386587168525,0.0274450485946836,54,262,627,0,0
"242",242,5e-04,0,0.0174769509583712,0.0426448296330415,0,160,262,627,0,0
"243",243,5e-04,0,0.217915692540321,0.037526285441996,0,90,263,628,0,0
"244",244,5e-04,1,0.0625637298915535,0.0362733983656955,0.00230891207473749,93,263,628,0,0
"245",245,5e-04,1,1.54217045503228,0.0384512310086201,0.0586765736004333,118,263,628,0,0
"246",246,5e-04,0,0.0467278067953885,0.0510997006722734,0,123,263,628,0,0
"247",247,5e-04,0,0.719427039995234,0.0355298813510604,0,55,264,629,0,0
"248",248,5e-04,0,0.0217903006897144,0.0405669572510718,0,223,264,629,0,0
"249",249,5e-04,2,0.0958745322238072,0.0441535233217017,0.00862161697871444,123,265,630,0,0
"250",250,5e-04,0,0.369024374695931,0.0385950701350777,0,141,265,630,0,0
"251",251,5e-04,1,0.309477509266201,0.0456221936157658,0.0143473390801141,187,265,630,0,0
"252",252,5e-04,0,0.00897042505368959,0.0337095409383177,0,23,266,631,0,0
"253",253,5e-04,0,0.325905338755313,0.0361283259616527,0,94,266,631,0,0
"254",254,5e-04,1,0.347002350153837,0.0385528905690139,0.0135500094065069,43,267,632,0,0
"255",255,5e-04,0,1.60103709297746,0.0400655104512783,0,54,267,632,0,0
"256",256,5e-04,1,0.153043583175167,0.0428410355313946,0.00667873230893246,93,267,632,0,0
"257",257,5e-04,0,0.188510584412143,0.0372056417384381,0,97,267,632,0,0
"258",258,5e-04,1,0.0324007620569319,0.0504537356066014,0.00167601457584543,114,267,632,0,0
"259",259,5e-04,2,0.391158363862399,0.027615831591843,0.0216700034952924,150,267,632,0,0
"260",260,5e-04,1,0.216095190389518,0.0431480372520888,0.00948594348433995,214,267,632,0,0
"261",261,5e-04,0,0.407526552478287,0.0423857638925269,0,23,268,633,0,0
"262",262,5e-04,2,0.0661681642290205,0.0337904283572424,0.00453866680667447,80,268,633,0,0
"263",263,5e-04,1,0.101807170081884,0.0380686508147194,0.00394356323127842,85,268,633,0,0
"264",264,5e-04,1,0.196963733900338,0.039603148930201,0.00792745778299409,160,268,633,0,0
"265",265,5e-04,2,0.660576108619015,0.0392038785280605,0.0514652941871061,187,268,633,0,0
"266",266,5e-04,1,0.0671785189296714,0.0490111762429997,0.00337022799159525,200,268,633,0,0
"267",267,5e-04,0,0.458848343665893,0.034852608779493,0,86,269,634,0,0
"268",268,5e-04,0,0.0383706761989743,0.0377800712544392,0,101,269,634,0,0
"269",269,5e-04,0,0.365032678271148,0.0353303705600968,0,160,269,634,0,0
"270",270,5e-04,0,0.224906189727101,0.0431388240509197,0,187,269,634,0,0
"271",271,5e-04,0,0.377121012086485,0.041514500839663,0,27,270,635,0,0
"272",272,5e-04,0,0.434504978519805,0.0361783626910749,0,54,270,635,0,0
"273",273,5e-04,1,0.519998417210705,0.0335689062780089,0.0175987903489955,118,270,635,0,0
"274",274,5e-04,0,0.0294525674544275,0.0422267713122092,0,150,270,635,0,0
"275",275,5e-04,0,0.394375009170238,0.0375130148773297,0,123,271,636,0,0
"276",276,5e-04,4,0.0135435696691275,0.0496590079126256,0.00275553198292844,159,271,636,0,0
"277",277,5e-04,0,0.275093537090782,0.0486564217278536,0,219,271,636,0,0
"278",278,5e-04,2,0.159025034727529,0.0411813361731408,0.0132860097769786,239,271,636,0,0
"279",279,5e-04,4,0.198630866641179,0.0483609753000241,0.0386186519053263,54,272,637,0,0
"280",280,5e-04,0,0.0669872781727463,0.0396513445224211,0,85,272,637,0,0
"281",281,5e-04,0,0.329083970455889,0.0326642683969796,0,118,272,637,0,0
"282",282,5e-04,0,0.389603072671656,0.0405874512188992,0,137,272,637,0,0
"283",283,5e-04,2,0.646716119869988,0.0402477495830051,0.0517473711991664,199,272,637,0,0
"284",284,5e-04,0,0.199634074559435,0.0348266983790874,0,273,272,637,0,0
"285",285,5e-04,2,0.42662476308772,0.0390185141724875,0.0333892971446649,187,273,638,0,0
"286",286,5e-04,1,0.598808600169547,0.0467666983719603,0.028272919974778,219,274,639,0,0
"287",287,5e-04,0,0.129645871760355,0.0366591671618838,0,220,274,639,0,0
"288",288,5e-04,0,0.0708360445685685,0.0386424119980634,0,58,275,640,0,0
"289",289,5e-04,0,0.00553889768198132,0.0357243444042017,0,123,275,640,0,0
"290",290,5e-04,3,0.187511597620323,0.0432636717492355,0.0245725329916393,231,275,640,0,0
"291",291,5e-04,0,0.369179732991818,0.0366113062483331,0,29,276,641,0,0
"292",292,5e-04,6,0.222216525009338,0.0557773862892481,0.0736678970578467,150,276,641,0,0
"293",293,5e-04,1,0.364029509394202,0.0467987915577158,0.0172963380285602,285,276,641,0,0
"294",294,5e-04,0,0.28594940927482,0.0447797033881386,0,93,277,642,0,0
"295",295,5e-04,2,0.100564209999453,0.0394246225311423,0.0080573171417021,279,277,642,0,0
"296",296,5e-04,2,0.684630941129014,0.0342843944536237,0.046644986413351,29,278,643,0,0
"297",297,5e-04,0,0.0264558902475983,0.0544872971461555,0,54,278,643,0,0
"298",298,5e-04,0,0.173979755211622,0.0394815107278428,0,55,278,643,0,0
"299",299,5e-04,2,0.74083618536536,0.0403087919932789,0.0591405287245558,160,278,643,0,0
"300",300,5e-04,2,0.331989781825308,0.0439874547661605,0.0294269592872513,187,278,643,0,0
"301",301,5e-04,0,0.781345885395448,0.0293923539879088,0,214,278,643,0,0
"302",302,5e-04,1,0.459896957228695,0.0441542044254565,0.0205541631108311,151,279,644,0,0
"303",303,5e-04,1,0.213267922481958,0.0444739340401671,0.00965533291955789,43,280,645,0,0
"304",304,5e-04,1,0.203261213097721,0.0455545232196229,0.00943223993462761,174,280,645,0,0
